Name,Content_Warning,Related_Mange,staff
Code Geass: Lelouch of the Rebellion,"Nudity,, Violence","Code Geass: Lelouch of the Rebellion, Code Geass: Suzaku of the Counterattack, Code Geass: Nightmare of Nunnally, Code Geass: Lelouch of the Rebellion - Knight: Official Comic Anthology - For Girls, Code Geass: Lelouch of the Rebellion - Queen: Official Comic Anthology - For Boys, Code Geass: Lelouch of the Rebellion (Light Novel), Code Geass: Lelouch of the Rebellion - Ake no Kiseki (Light Novel), Code Geass: Tales of an Alternate Shogunate, Code Geass: Lelouch of the Rebellion R2 (Light Novel), Code Geass: Shikkoku no Renya, Barcode Geass: Hanbai no Lelouch, Code Geass: Soubou no Oz, Code Geass: Boukoku no Akito (Light Novel), Kateikyoushi no Lelouch-san, Code Geass: Lelouch of the Rebellion Re;","Gorou Taniguchi : Director & Op Director & Original Creator & Storyboard, Sunrise : Original Creator, Clamp : Original Character Design, Kotaro Nakagawa : Music, Hitomi Kuroishi : Music, Takahiro Kimura : Character Design, Takao Minegishi : Producer, Hirofumi Morotomi : Producer"
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"Animal Abuse,, Explicit Violence,, Mature Themes","JoJo's Bizarre Adventure Part 1: Phantom Blood, JoJo's Bizarre Adventure Part 2: Battle Tendency, JoJo's Bizarre Adventure Part 3: Stardust Crusaders, JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable, JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo's Bizarre Adventure Part 6: Stone Ocean, JoJo's Bizarre Adventure Part 7: Steel Ball Run, The Book: JoJo's Bizarre Adventure 4th Another Day (Light Novel), Rohan at the Louvre, JoJo's Bizarre Adventure Part 8: Jojolion, Purple Haze Feedback: From JoJo's Bizarre Adventure (Light Novel), Jorge Joestar (Light Novel), JoJo's Bizarre Adventure: Crazy Diamond's Demonic Heartbreak","Hirohiko Araki : Original Creator, Toshiyuki Katou : Chief Director, Kenichi Suzuki : Director, Naokatsu Tsuda : Director, Yasuko Kobayashi : Series Composition, Masahiko Komino : Character Design, Yoshikazu Iwanami : Sound Director, Naoki Yoshibe : Op Director"
Yona of the Dawn: Zeno Arc,Violence,"Yona of the Dawn, Akatsuki no Yona (Light Novel)","Mizuho Kusanagi : Original Creator, Kazuhiro Yoneda : Director"
JoJo's Bizarre Adventure: Diamond is Unbreakable,"Animal Abuse,, Mature Themes,, Violence","JoJo's Bizarre Adventure Part 1: Phantom Blood, JoJo's Bizarre Adventure Part 2: Battle Tendency, JoJo's Bizarre Adventure Part 3: Stardust Crusaders, JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable, JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo's Bizarre Adventure Part 6: Stone Ocean, JoJo's Bizarre Adventure Part 7: Steel Ball Run, The Book: JoJo's Bizarre Adventure 4th Another Day (Light Novel), Rohan at the Louvre, JoJo's Bizarre Adventure Part 8: Jojolion, Purple Haze Feedback: From JoJo's Bizarre Adventure (Light Novel), Jorge Joestar (Light Novel), JoJo's Bizarre Adventure: Crazy Diamond's Demonic Heartbreak","Hirohiko Araki : Original Creator, Toshiyuki Katou : Director, Naokatsu Tsuda : Director, Yasuko Kobayashi : Series Composition, Yuugo Kanno : Music, Terumi Nishii : Character Design, Kazuhiro Yamada : Photography Director, Yoshikazu Iwanami : Sound Director"
Kamisama Kiss: Kako-hen,,Kamisama Kiss,"Julietta Suzuki : Original Creator, Akitarou Daichi : Director, Toshio Masuda : Music, Junko Yamanaka : Character Design, Ikumi Hayashi : Producer, Mai Kurachi : Producer, Kazuko Nishida : Producer"
Hajime no Ippo: New Challenger,,Hajime no Ippo,"George Morikawa : Original Creator, Jun Shishido : Director, Yoshihisa Hirano : Music, Koji Sugiura : Character Design, Manabu Tamura : Producer, Toshio Nakatani : Producer"
Mushishi Zoku Shou 2nd Season,,"Mushishi, Mushishi Special: Sun-Eating Shade, Mushishi Gaitanshuu","Yuki Urushibara : Original Creator, Kouichirou Soutome : Chief Director, Hiroshi Nagahama : Director, Toshio Masuda : Music, Yoshihiko Umakoshi : Character Design, Ai Abe : Producer, Junichirou Tsuchiya : Producer, Eiji Abiko : Animation Director & Assistant Animation Director & Key Animator"
Attack on Titan,"Cannibalism,, Explicit Violence,, Mature Themes,, Suicide","Attack on Titan Volume 0, Attack on Titan, Attack on Titan: Before the Fall (Light Novel), Attack on Titan: Junior High, Attack on Titan: No Regrets - Prologue, Attack on Titan: Before the Fall, Attack on Titan: No Regrets, Spoof on Titan, Attack on Titan: The Harsh Mistress of the City (Light Novel), Attack on Titan: Lost Girls (Light Novel), Attack on Titan: Lost Girls, Attack on Titan: End of the World (Light Novel)","Hajime Isayama : Original Creator, Tetsurou Araki : Director & Episode Director & Storyboard, Hiroyuki Tanaka : Assistant Director & Episode Director & Storyboard, Masashi Koizuka : Assistant Director & Episode Director & Storyboard, Yasuko Kobayashi : Screenplay & Series Composition, Hiroyuki Sawano : Music, Kyouji Asano : Animation Director & Character Design & Chief Animation Director, Kazuhiro Yamada : Photography Director"
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,,"Haikyuu!! (Pilot), Haikyuu!!, Let's! Haikyuu!?, Haikyuu-bu!!","Haruichi Furudate : Original Creator, Susumu Mitsunaka : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design"
Kaguya-sama: Love Is War?,,"Kaguya-sama: Love Is War, Kaguya-sama: Love Is War Official Doujin","Aka Akasaka : Original Creator, Shinichi Omata : Director & Storyboard, Kei Haneoka : Music, Yuuko Yahiro : Character Design, Risa Wakabayashi : Art Director, Yuki Kuribayashi : Cg Director, Toshihiro Maeda : Producer, Tatsuya Ishikawa : Producer"
Gintama: Porori-hen,,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Susumu Matsuyama : Producer, Hiromitsu Higuchi : Producer"
March Comes in like a Lion 2nd Season,"Bullying,, Emotional Abuse","March Comes in Like a Lion, March Comes in Like a Lion: Shakunetsu no Jidai","Chica Umino : Original Creator, Kenjirou Okada : Director & Episode Director & Storyboard, Akiyuki Simbo : Director & Series Composition, Shaft : Series Composition, Yukari Hashimoto : Music, Nobuhiro Sugiyama : Animation Director & Character Design & Chief Animation Director, Rei Egami : Photography Director, Izumi Takizawa : Color Design"
Natsume's Book of Friends Season 3,,"Natsume's Book of Friends, Natsume's Book of Friends (Light Novel), Nyanko-sensei ga Iku!","Yuki Midorikawa : Original Creator, Takahiro Oomori : Director, Makoto Yoshimori : Music, Akira Takada : Character Design, Shuko Yokoyama : Producer, Tomomi Kyoutani : Producer, Reiko Sasaki : Producer, Hirofumi Sugawara : Producer"
Attack on Titan 2nd Season,"Cannibalism,, Explicit Violence","Attack on Titan Volume 0, Attack on Titan, Attack on Titan: Before the Fall (Light Novel), Attack on Titan: Junior High, Attack on Titan: No Regrets - Prologue, Attack on Titan: Before the Fall, Attack on Titan: No Regrets, Spoof on Titan, Attack on Titan: The Harsh Mistress of the City (Light Novel), Attack on Titan: Lost Girls (Light Novel), Attack on Titan: Lost Girls, Attack on Titan: End of the World (Light Novel)","Hajime Isayama : Original Creator, Tetsurou Araki : Chief Director & Episode Director, Masashi Koizuka : Director & Storyboard, Yasuko Kobayashi : Screenplay & Series Composition, Hiroyuki Sawano : Music, Kyouji Asano : Animation Director & Character Design & Chief Animation Director, Kazuhiro Yamada : Photography Director, Tetsuya Endou : Producer"
I Want to Eat Your Pancreas,,"I Want to Eat Your Pancreas (Novel), I Want to Eat Your Pancreas","Yoru Sumino : Original Creator, Loundraw : Original Character Design, Shinichirou Ushijima : Director & Episode Director & Op Director & Screenplay & Storyboard, Hiroko Sebu : Music, Yuuichi Oka : Character Design & Chief Animation Director, Mayuko Koike : Photography Director, Yukako Ogawa : Art Director, Yoshinori Horikawa : Color Design"
Rascal Does Not Dream of a Dreaming Girl,,"Rascal Does Not Dream Series (Light Novel), Rascal Does Not Dream of Bunny Girl Senpai, Rascal Does Not Dream of Petite Devil Kohai","Hajime Kamoshida : Original Creator, Keiji Mizoguchi : Original Character Design, Souichi Masui : Director & Storyboard, Fox Capture Plan : Music, Satomi Tamura : Animation Director & Character Design & Chief Animation Director & Key Animator, Yoshihiro Sekiya : Photography Director, Hisayo Usui : Art Director, Satoru Hirayanagi : Art Director"
Given Movie,"Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content",Given,"Natsuki Kizu : Original Creator, Hikaru Yamaguchi : Director, Michiru : Music, Mina Osawa : Character Design, Naoki Serizawa : Photography Director, Ayano Okamoto : Art Director, Tatsurou Oonishi : Art Director, Hiroaki Kaguchi : Color Design"
Mushishi Zoku Shou,,"Mushishi, Mushishi Special: Sun-Eating Shade, Mushishi Gaitanshuu","Yuki Urushibara : Original Creator, Kouichirou Soutome : Chief Director, Hiroshi Nagahama : Director, Toshio Masuda : Music, Yoshihiko Umakoshi : Character Design, Ai Abe : Producer, Junichirou Tsuchiya : Producer, Eiji Abiko : Animation Director & Assistant Animation Director & Key Animator"
Princess Mononoke,,Princess Mononoke,"Hayao Miyazaki : Director & Original Creator & Screenplay & Song Lyrics, Hiroyuki Itou : Assistant Director, Joe Hisaishi : Music & Song Arrangement & Song Composition, Atsushi Okui : Photography Director, Kazuo Oga : Art Director, Nizo Yamamoto : Art Director, Youji Takeshige : Art Director, Naoya Tanaka : Art Director"
Kuroko's Basketball 3,,"Kuroko’s Basketball, Kuroko's Basketball: Replace (Light Novel), Kuroko's Basketball: Extra Game, Kuroko's Basketball: Replace Plus","Tadatoshi Fujimaki : Original Creator, Shunsuke Tada : Director, Noboru Takagi : Series Composition, Yoshihiro Ike : Music, Youko Kikuchi : Character Design, Eiji Arai : Photography Director, Megumi Suzuki : Art Director, Yuka Takeda : Color Design"
BTS: We are Bulletproof - the Eternal,,,Bts : Song Performance
Haikyuu!! Movie 4: Battle of Concepts,,"Haikyuu!! (Pilot), Haikyuu!!, Haikyuu-bu!!",Haruichi Furudate : Original Creator
Dr. Stone,,"Dr. Stone, Dr. Stone: Hoshi no Yume, Chi no Uta (Light Novel), Dr. Stone Reboot: Byakuya","Riichiro Inagaki : Original Creator, Boichi : Original Character Design, Shinya Iino : Director & Episode Director & Storyboard, Kentarou Kawajiri : Assistant Director & Episode Director & Storyboard, Yuuichirou Kido : Screenplay & Series Composition, Hiroaki Tsutsumi : Music, Yuki Kanesaka : Music, Tatsuya Katou : Music"
Attack on Titan: No Regrets,"Cannibalism,, Explicit Violence","Attack on Titan Volume 0, Attack on Titan, Attack on Titan: Before the Fall (Light Novel), Attack on Titan: Junior High, Attack on Titan: No Regrets - Prologue, Attack on Titan: Before the Fall, Attack on Titan: No Regrets, Spoof on Titan, Attack on Titan: The Harsh Mistress of the City (Light Novel), Attack on Titan: Lost Girls (Light Novel), Attack on Titan: Lost Girls","Hajime Isayama : Original Creator, Tetsurou Araki : Director, Kyouji Asano : Character Design, Kazuhiro Yamada : Photography Director, Tetsuya Kinoshita : Producer"
Horimiya,,"Hori-san to Miyamura-kun, Horimiya","Hero : Original Creator, Masashi Ishihama : Director, Masaru Yokoyama : Music, Haruko Iizuka : Character Design, Yuuya Sakuma : Photography Director, Asuka Yokota : Color Design, Katsuaki Miyaji : Cg Director, Kazuki Oohashi : Storyboard"
Cowboy Bebop,"Drug Use,, Mature Themes,, Nudity,, Violence","Cowboy Bebop: Shooting Star, Cowboy Bebop","Sunrise : Original Creator, Shinichirou Watanabe : Director & Ed Director & Screenplay & Storyboard, Keiko Nobumoto : Screenplay & Series Composition, Youko Kanno : Music & Song Arrangement & Song Composition & Song Performance, Toshihiro Kawamoto : Animation Director & Character Design & Chief Animation Director, Youichi Oogami : Photography Director, Junichi Higashi : Art Director, Shihoko Nakayama : Color Design"
Hotarubi no Mori e,,Hotarubi no Mori e,"Yuki Midorikawa : Original Creator, Takahiro Oomori : Director & Screenplay, Makoto Yoshimori : Music & Song Arrangement & Song Composition & Song Lyrics, Akira Takada : Animation Director & Character Design, Hiromi Miyawaki : Color Design, Masanori Miyake : Producer, Shuko Yokoyama : Producer, Tomomi Kyoutani : Producer"
The Disastrous Life of Saiki K. 2nd Season,,Saiki Kusuo no Ψ Nan,"Shuichi Asou : Original Creator, Hiroaki Sakurai : Director, Psychic Lover : Music, Masayuki Onji : Character Design, Sayako Muramatsu : Producer, Souji Miyagi : Producer, Yasushi Uchida : Producer, Souya Kiyota : Producer"
Monogatari Series: Second Season,Explicit Violence,"Nekomonogatari: Cat Tale (Light Novel), Kabukimonogatari: Dandy Tale (Light Novel), Otorimonogatari: Decoy Tale (Light Novel), Onimonogatari: Demon Tale (Light Novel), Koimonogatari: Love Tale (Light Novel), Bakemonogatari","Nisioisin : Original Creator, Vofan : Original Character Design, Akiyuki Simbo : Chief Director & Series Composition, Tomoyuki Itamura : Director & Episode Director & Key Animator & Storyboard, Naoyuki Tatsuwa : Director & Episode Director & Storyboard, Yuki Yase : Director & Episode Director & Storyboard, Tatsuya Oishi : Director & Episode Director & Storyboard, Shaft : Series Composition"
Castlevania Season 4,"Animal Abuse,, Explicit Violence,, Mature Themes,, Suicide",,"Amanda Sitareh B. : Director, Sam Deats : Director & Character Design, Adam Deats : Assistant Director & Photography Director, Trevor Morris : Music, Abbie Bullock : Character Design, Joanne Wong : Character Design, Giselle ""Faragon"" R. : Character Design, Tam Lu : Character Design"
Doukyuusei,,"Classmates, Graduate, Sora & Hara, O.B., Doukyuusei: Gold Ring & Silver Ring, Futarigurashi","Asumiko Nakamura : Original Creator, Shouko Nakamura : Director & Episode Director & Key Animator & Storyboard, Kotaro Oshio : Music & Song Composition & Song Performance, Akemi Hayashi : Animation Director & Character Design & Chief Animation Director & Episode Director & Storyboard, Yukiko Nagase : Photography Director, Chieko Nakamura : Art Director, Ritsuko Utagawa : Color Design, Akiko Fujita : Sound Director"
ERASED,"Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse","Erased, Erased: Re:","Kei Sanbe : Original Creator, Tomohiko Itou : Director, Yuki Kajiura : Music, Keigo Sasaki : Character Design, Yoshikazu Iwanami : Sound Director, Kenta Suzuki : Producer, Taku Matsuo : Producer, Shigeru Nishiyama : Editor"
The Rising of the Shield Hero,Violence,"The Rising of the Shield Hero (Light Novel), The Rising of the Shield Hero, The Reprise of the Spear Hero, The Rising of the Shield Hero Anthology: Raphtalia to Issho, Tate no Yuusha no Toaru Ichinichi, The Rising of the Shield Hero Anthology: Filo to Issho, Tate no Yuusha no Oshi Nagaki","Yusagi Aneko : Original Creator, Seira Minami : Original Character Design, Takao Abo : Director & Ed Director & Episode Director & Storyboard, Keigo Koyanagi : Screenplay & Series Composition, Kevin Penkin : Music, Masahiro Suwa : Animation Director & Character Design & Chief Animation Director, Yukiyo Kajiwara : Photography Director, Anna Okamatsu : Color Design & Ed Director & Storyboard"
To Your Eternity,Violence,To Your Eternity,"Yoshitoki Ooima : Original Creator, Masahiko Murata : Director & Episode Director & Storyboard, Shinzou Fujita : Series Composition, Ryou Kawasaki : Music, Kouji Yabuno : Animation Director & Character Design, Yorinobu Oda : Photography Director, Yukihiro Shibutani : Art Director, Yuuko Fukuda : Color Design"
Hajime no Ippo: Rising,,Hajime no Ippo,"George Morikawa : Original Creator, Jun Shishido : Director, Koji Sugiura : Character Design, Manabu Tamura : Producer, Toshio Nakatani : Producer, Tomohiro Shindou : Producer, Ryouji Nakamori : Key Animator"
"Josee, the Tiger and the Fish",,"Josee, the Tiger and the Fish (Novel), Josee to Tora to Sakana-tachi","Seiko Tanabe : Original Creator, Nao Emoto : Original Character Design, Koutarou Tamura : Director, Evan Call : Music & Song Composition, Haruko Iizuka : Character Design & Chief Animation Director, Tsuyoshi Kanbayashi : Photography Director, Yuuji Kaneko : Art Director, Hiroshi Umezaki : Color Design"
Made in Abyss,Explicit Violence,"Made in Abyss, Made in Abyss Official Anthology","Akihito Tsukushi : Original Creator, Masayuki Kojima : Director & Episode Director & Storyboard, Hitoshi Haga : Assistant Director & Episode Director, Hideyuki Kurata : Screenplay & Series Composition, Kevin Penkin : Music & Song Composition, Kazuchika Kise : Animation Director & Character Design, Tsunetaka Ema : Photography Director, Osamu Masuyama : Art Director"
Rurouni Kenshin: Tsuiokuhen,Violence,"Rurouni Kenshin, Rurouni Kenshin: Voyage to the Moon World (Light Novel), Rurouni Kenshin: Yahiko no Sakabatou, Rurouni Kenshin: Cherry Blossoms in the Spring, Rurouni Kenshin: Restoration, Rurouni Kenshin Uramaku: Honoo wo Suberu, Rurouni Kenshin: Meiji Kenkaku Romantan - Hokkaido-hen, Rurouni Kenshin Side Story: The Ex-Con Ashitaro","Nobuhiro Watsuki : Original Creator, Kazuhiro Furuhashi : Director, Taku Iwasaki : Music, Masahide Yanagisawa : Character Design, Yoshinori Naruke : Producer, Kazunori Noguchi : Producer, Katsunori Furihashi : Producer, Masashi Sogo : Screenplay"
